Element ID,X_Coordinate,Y_Coordinate,Z_Coordinate,Easting_Coordinate,Northing_Coordinate
746495,"7,646,849,194","1,285,175,505",1100,"7,646,849,194","1,285,175,505"
746500,"7,700,012,112","1,286,896,942",1100,"7,700,012,112","1,286,896,942"
746505,"7,700,012,112","1,285,150,507",1100,"7,700,012,112","1,285,150,507"
746510,"7,649,852,112","1,286,925,505",1100,"7,649,852,112","1,286,925,505"
746515,"7,649,852,112","1,285,175,505",1100,"7,649,852,112","1,285,175,505"
746575,"7,630,962,633","1,311,868,016",1100,"7,630,962,633","1,311,868,016"
746580,"7,630,962,633","1,310,118,016",1100,"7,630,962,633","1,310,118,016"
746595,"7,633,965,551","1,311,868,016",1100,"7,633,965,551","1,311,868,016"
746600,"7,633,965,551","1,310,118,016",1100,"7,633,965,551","1,310,118,016"
746605,"8,934,132,115","1,320,087,124",1100,"8,934,132,115","1,320,087,124"
746610,"7,683,356,026","1,318,197,584",1100,"7,683,356,026","1,318,197,584"
746615,"7,633,965,551","1,318,197,584",1100,"7,633,965,551","1,318,197,584"
746620,"7,699,920,355","1,299,223,472",1100,"7,699,920,355","1,299,223,472"
746625,"8,931,129,197","1,320,087,124",1100,"8,931,129,197","1,320,087,124"
746630,"7,680,353,108","1,318,197,584",1100,"7,680,353,108","1,318,197,584"
746635,"7,630,962,633","1,318,197,584",1100,"7,630,962,633","1,318,197,584"
746640,"7,696,917,437","1,299,223,472",1100,"7,696,917,437","1,299,223,472"
746645,"7,182,371,215","1,311,144,995",1100,"7,182,371,215","1,311,144,995"
746650,"7,182,371,215","1,312,894,995",1100,"7,182,371,215","1,312,894,995"
746655,"7,182,371,215","1,314,644,995",1100,"7,182,371,215","1,314,644,995"
746660,"7,182,371,215","1,316,394,995",1100,"7,182,371,215","1,316,394,995"
746665,"7,179,368,297","1,311,144,995",1100,"7,179,368,297","1,311,144,995"
746670,"7,179,368,297","1,312,894,995",1100,"7,179,368,297","1,312,894,995"
746675,"7,179,368,297","1,314,644,995",1100,"7,179,368,297","1,314,644,995"
746680,"7,179,368,297","1,316,394,995",1100,"7,179,368,297","1,316,394,995"
746984,"8,979,160,144","1,290,390,464",1100,"8,979,160,144","1,290,390,464"
746989,"8,979,160,144","1,288,640,464",1100,"8,979,160,144","1,288,640,464"
746994,"8,979,160,144","1,286,890,464",1100,"8,979,160,144","1,286,890,464"
746999,"8,979,160,144","1,285,140,464",1100,"8,979,160,144","1,285,140,464"
747004,"8,982,163,062","1,290,390,464",1100,"8,982,163,062","1,290,390,464"
747009,"8,982,163,062","1,288,640,464",1100,"8,982,163,062","1,288,640,464"
747014,"8,982,163,062","1,286,890,464",1100,"8,982,163,062","1,286,890,464"
747019,"8,982,163,062","1,285,140,464",1100,"8,982,163,062","1,285,140,464"
747031,"8,979,254,197","1,301,606,377",1100,"8,979,254,197","1,301,606,377"
747036,"8,979,254,197","1,299,856,377",1100,"8,979,254,197","1,299,856,377"
747041,"8,979,254,197","1,298,106,377",1100,"8,979,254,197","1,298,106,377"
747046,"8,979,254,197","1,296,356,377",1100,"8,979,254,197","1,296,356,377"
747051,"8,982,257,115","1,301,606,377",1100,"8,982,257,115","1,301,606,377"
747056,"8,982,257,115","1,299,856,377",1100,"8,982,257,115","1,299,856,377"
747061,"8,982,257,115","1,298,106,377",1100,"8,982,257,115","1,298,106,377"
747066,"8,982,257,115","1,296,356,377",1100,"8,982,257,115","1,296,356,377"
747363,"8,450,430,997","1,263,600,166",1100,"8,450,430,997","1,263,600,166"
747368,"8,435,430,997","1,263,600,166",1100,"8,435,430,997","1,263,600,166"
747373,"8,420,430,997","1,263,600,166",1100,"8,420,430,997","1,263,600,166"
747378,"8,405,430,997","1,263,600,166",1100,"8,405,430,997","1,263,600,166"
747383,"8,390,430,997","1,263,600,166",1100,"8,390,430,997","1,263,600,166"
747388,"8,375,430,997","1,263,600,166",1100,"8,375,430,997","1,263,600,166"
747393,"8,450,430,997","1,264,291,928",1100,"8,450,430,997","1,264,291,928"
747398,"8,435,430,997","1,264,291,928",1100,"8,435,430,997","1,264,291,928"
747403,"8,420,430,997","1,264,291,928",1100,"8,420,430,997","1,264,291,928"
747408,"8,405,430,997","1,264,291,928",1100,"8,405,430,997","1,264,291,928"
747413,"8,390,430,997","1,264,291,928",1100,"8,390,430,997","1,264,291,928"
747418,"8,375,430,997","1,264,291,928",1100,"8,375,430,997","1,264,291,928"
747430,"8,366,390,606","1,279,205,307",1100,"8,366,390,606","1,279,205,307"
747435,"8,381,390,606","1,279,205,307",1100,"8,381,390,606","1,279,205,307"
747440,"8,396,390,606","1,279,205,307",1100,"8,396,390,606","1,279,205,307"
747445,"8,411,390,606","1,279,205,307",1100,"8,411,390,606","1,279,205,307"
747450,"8,426,390,606","1,279,205,307",1100,"8,426,390,606","1,279,205,307"
747455,"8,441,390,606","1,279,205,307",1100,"8,441,390,606","1,279,205,307"
747460,"8,366,390,606","1,278,513,546",1100,"8,366,390,606","1,278,513,546"
747465,"8,381,390,606","1,278,513,546",1100,"8,381,390,606","1,278,513,546"
747470,"8,396,390,606","1,278,513,546",1100,"8,396,390,606","1,278,513,546"
747475,"8,411,390,606","1,278,513,546",1100,"8,411,390,606","1,278,513,546"
747480,"8,426,390,606","1,278,513,546",1100,"8,426,390,606","1,278,513,546"
747485,"8,441,390,606","1,278,513,546",1100,"8,441,390,606","1,278,513,546"
748557,"8,881,355,972","1,315,517,144",1100,"8,881,355,972","1,315,517,144"
748562,"8,881,355,972","1,313,767,144",1100,"8,881,355,972","1,313,767,144"
748567,"8,881,355,972","1,312,017,144",1100,"8,881,355,972","1,312,017,144"
748572,"8,881,355,972","1,310,267,144",1100,"8,881,355,972","1,310,267,144"
748577,"888,435,889","1,315,517,144",1100,"888,435,889","1,315,517,144"
748582,"888,435,889","1,313,767,144",1100,"888,435,889","1,313,767,144"
748587,"888,435,889","1,312,017,144",1100,"888,435,889","1,312,017,144"
